"Nr.zrodla","C","Si","S","P","Mg","Mn","Ni","Cu","Mo","Cr","Al","Sn","B","V","Wydzielenia.grafitu","Udzial.wydzielen.grafitu","Srednica.sferoidow","Wielkosc.sferoidow","Nodularity","Udzial.perlitu","Udzial.ferrytu","Rm.as.cast","A5.as.cast","Minimalna.grubosc.scianki","Temperatura.austenityzacji","Czas.austenityzacji","Temperatura.przemiany.izotermicznej","Czas.przemiany.izotermicznej","Rm","R0.2","A5","Udarnosc.Charpy","Temperatura.pomiaru.udarnosci","Udzial.austenitu","Martensite.volume.fraction.X","Retained.austenite.volume.fraction.X","Twardosc"
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,290,NA,NA,NA,NA,NA,20,NA,NA,NA,900,90,360,180,NA,NA,NA,NA,NA,NA,NA,16.7,312
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,110,NA,NA,NA,NA,NA,20,NA,NA,NA,900,90,360,180,NA,NA,NA,NA,NA,NA,NA,16.2,298
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,400,NA,NA,NA,NA,NA,30,NA,NA,NA,900,90,300,180,NA,NA,NA,NA,NA,NA,NA,8.1,405
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,315,NA,NA,NA,NA,NA,25,NA,NA,NA,900,90,300,180,NA,NA,NA,NA,NA,NA,NA,4,406
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,290,NA,NA,NA,NA,NA,20,NA,NA,NA,900,90,300,180,NA,NA,NA,NA,NA,NA,NA,7.1,422
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,110,NA,NA,NA,NA,NA,20,NA,NA,NA,900,90,300,180,NA,NA,NA,NA,NA,NA,NA,3.4,414
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,400,NA,NA,NA,NA,NA,30,NA,NA,NA,900,90,360,120,NA,NA,NA,NA,NA,NA,NA,20.6,334
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,315,NA,NA,NA,NA,NA,25,NA,NA,NA,900,90,360,120,NA,NA,NA,NA,NA,NA,NA,18.4,325
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,290,NA,NA,NA,NA,NA,20,NA,NA,NA,900,90,360,120,NA,NA,NA,NA,NA,NA,NA,18.4,326
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,110,NA,NA,NA,NA,NA,20,NA,NA,NA,900,90,360,120,NA,NA,NA,NA,NA,NA,NA,20.4,325
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,400,NA,NA,NA,NA,NA,30,NA,NA,NA,900,90,300,120,NA,NA,NA,NA,NA,NA,NA,7.8,404
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,315,NA,NA,NA,NA,NA,25,NA,NA,NA,900,90,300,120,NA,NA,NA,NA,NA,NA,NA,3.9,380
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,290,NA,NA,NA,NA,NA,20,NA,NA,NA,900,90,300,120,NA,NA,NA,NA,NA,NA,NA,4.1,357
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,110,NA,NA,NA,NA,NA,20,NA,NA,NA,900,90,300,120,NA,NA,NA,NA,NA,NA,NA,3.8,386
