"C","Mn","Si","P","S","Cr","Ni","Cu","Mg","Rm.as.cast","A5.as.cast","Twardosc"
3.65,0.018,2.25,0.045,0.015,0.001,1.5,0.8,0.045,731.0093,5.58699533333332,309
3.65,0.018,2.25,0.045,0.015,0.001,1.5,0.8,0.045,731.0093,5.58699533333332,309
3.65,0.018,2.25,0.045,0.015,0.001,1.5,0.8,0.045,747.7311,5.42622733333332,378
3.65,0.018,2.25,0.045,0.015,0.001,1.5,0.8,0.045,747.7311,5.42622733333332,378
3.65,0.018,2.25,0.045,0.015,0.001,1.5,0.8,0.045,747.700433333334,5.42622733333332,388
3.65,0.018,2.25,0.045,0.015,0.001,1.5,0.8,0.045,747.700433333334,5.42622733333332,404
3.65,0.018,2.25,0.045,0.015,0.001,1.5,0.8,0.045,747.700433333334,5.42622733333332,415
3.65,0.018,2.25,0.045,0.015,0.001,1.5,0.8,0.045,747.700433333334,5.42622733333332,415
3.69,0.28,2.47,0.05,0.01,0.001,0,0.32,0.037,600,4,400
3.69,0.28,2.47,0.05,0.01,0.001,0,0.32,0.037,600,4,430
3.69,0.28,2.47,0.05,0.01,0.001,0,0.32,0.037,600,4,380
3.69,0.28,2.47,0.05,0.01,0.001,0,0.32,0.037,600,4,430
3.68,0.23,2.47,0.006,0.014,0.001,0.15,1.1,0.056,846,4.4,395
3.5,0.15,2.7,0.02,0.01,0.001,1,0.54,0.07,737.4604,5.55742466666664,303
3.5,0.15,2.7,0.02,0.01,0.001,1,0.54,0.07,735.4819,5.54900799999997,296
3.5,0.15,2.7,0.02,0.01,0.001,1,0.54,0.07,735.2099,5.55742466666664,297
3.37,0.2,2.32,0.03,0.008,0.001,1.49,0.001,0.039,680.477933333334,8.51936833333333,425
3.37,0.2,2.32,0.03,0.008,0.001,1.49,0.001,0.039,680.477933333334,8.51936833333333,388
3.37,0.2,2.32,0.03,0.008,0.001,1.49,0.001,0.039,680.477933333334,8.51936833333333,407
