"C","Mn","Si","P","S","Cr","Ni","Cu","Mg","Rm.as.cast","A5.as.cast","Twardosc"
3.8,0.16,2.53,0.05,0.01,0.03,0.01,0.06,0.031,468,22.1,167
3.79,0.17,2.74,0.05,0.01,0.04,0.02,0.1,0.033,455,22.8,163
3.79,0.17,2.73,0.05,0.01,0.04,0.02,0.1,0.034,455,22.8,163
3.9,0.12,2.15,0.04,0.01,0.03,0.01,0.05,0.037,459,21.4,163
3.85,0.12,2.2,0.04,0.01,0.03,0.01,0.06,0.035,459,21.4,163
3.58,0.27,2.33,0.04,0.02,0.08,0.07,0.36,0.05,637,7.9,248
3.6,0.26,2.2,0.04,0.02,0.08,0.06,0.33,0.045,637,7.9,248
3.86,0.11,2.58,0.05,0.01,0.02,0.01,0.05,0.037,433,20,156
3.84,0.11,2.51,0.05,0.01,0.02,0.01,0.05,0.037,433,20,156
3.84,0.16,2.6,0.05,0.01,0.04,0.02,0.09,0.032,478,19.3,163
3.82,0.16,2.65,0.05,0.01,0.04,0.02,0.09,0.03,478,19.3,163
3.83,0.15,2.58,0.04,0.01,0.04,0.03,0.08,0.031,446,17.9,156
3.82,0.15,2.62,0.04,0.01,0.04,0.03,0.09,0.03,446,17.9,156
3.79,0.19,2.5,0.05,0.01,0.05,0.04,0.11,0.035,452,17.9,156
3.77,0.18,2.45,0.04,0.01,0.05,0.04,0.11,0.033,448,24.3,156
3.82,0.18,2.51,0.04,0.01,0.05,0.04,0.12,0.032,448,24.3,156
3.62,0.32,2.35,0.04,0.01,0.06,0.03,0.21,0.034,586,12.8,217
3.62,0.32,2.32,0.04,0.01,0.05,0.03,0.2,0.037,586,12.8,217
3.63,0.37,2.33,0.04,0.01,0.08,0.04,0.14,0.04,632,10.7,217
3.57,0.37,2.38,0.04,0.01,0.08,0.04,0.14,0.047,632,10.7,217
3.61,0.35,2.19,0.04,0.01,0.07,0.06,0.19,0.044,573,11.4,217
3.61,0.35,2.26,0.04,0.01,0.07,0.06,0.19,0.041,573,11.4,217
3.64,0.36,2.2,0.04,0.01,0.11,0.06,0.11,0.044,624,15.7,197
3.64,0.37,2.24,0.04,0.01,0.11,0.06,0.11,0.046,624,15.7,197
3.6,0.35,2.2,0.04,0.01,0.1,0.05,0.11,0.042,618,12.8,223
3.6,0.35,2.25,0.04,0.01,0.1,0.05,0.11,0.041,618,12.8,223
3.63,0.36,2.4,0.05,0.01,0.09,0.05,0.13,0.039,562,12.8,197
3.67,0.36,2.39,0.05,0.01,0.09,0.05,0.14,0.037,562,12.8,197
3.69,0.37,2.34,0.04,0.01,0.1,0.06,0.14,0.035,555,15,201
3.63,0.36,2.32,0.04,0.01,0.1,0.06,0.13,0.031,555,15,201
3.64,0.37,2.32,0.04,0.01,0.07,0.05,0.11,0.043,555,15,197
3.65,0.36,2.26,0.04,0.01,0.07,0.05,0.11,0.045,555,15,197
3.61,0.33,2.29,0.04,0.01,0.1,0.06,0.11,0.042,562,14.3,201
3.62,0.33,2.23,0.04,0.01,0.1,0.06,0.11,0.042,562,14.3,201
3.87,0.16,2.38,0.05,0.01,0.04,0.02,0.06,0.035,459,18.6,159
3.83,0.16,2.38,0.05,0.01,0.04,0.02,0.06,0.037,459,18.6,159
3.73,0.15,2.44,0.04,0.01,0.04,0.03,0.08,0.026,478,20,163
3.7,0.17,2.58,0.05,0.01,0.05,0.03,0.08,0.035,471,22.1,163
3.73,0.17,2.6,0.05,0.01,0.05,0.03,0.08,0.036,471,22.1,163
3.67,0.3,2.25,0.04,0.01,0.07,0.05,0.52,0.051,777,7.1,255
3.69,0.3,2.2,0.04,0.01,0.07,0.05,0.5,0.055,777,7.1,255
3.72,0.29,2.37,0.05,0.01,0.07,0.04,0.55,0.045,707,7.1,241
3.72,0.29,2.4,0.04,0.01,0.07,0.04,0.54,0.046,707,7.1,241
3.84,0.14,2.5,0.05,0.01,0.04,0.02,0.07,0.032,484,17.1,163
3.84,0.14,2.5,0.05,0.01,0.04,0.02,0.07,0.031,484,17.1,163
3.8,0.12,2.69,0.05,0.01,0.04,0.02,0.07,0.039,459,21.4,163
3.75,0.12,2.69,0.05,0.01,0.04,0.02,0.07,0.035,459,21.4,163
3.74,0.11,2.5,0.06,0.01,0.04,0.02,0.06,0.034,465,21.4,167
3.76,0.12,2.49,0.05,0.01,0.04,0.02,0.06,0.04,465,21.4,167
3.85,0.11,2.56,0.05,0.01,0.03,0.02,0.06,0.038,439,22.8,163
3.83,0.11,2.6,0.05,0.01,0.04,0.02,0.07,0.04,439,22.8,163
3.7,0.11,2.68,0.05,0.01,0.03,0.02,0.06,0.036,459,22.8,163
3.79,0.12,2.69,0.05,0.01,0.03,0.02,0.06,0.036,433,22.8,156
3.75,0.12,2.73,0.05,0.01,0.03,0.02,0.07,0.037,433,22.8,156
3.8,0.13,2.56,0.05,0.01,0.04,0.03,0.06,0.03,446,20,163
3.79,0.13,2.61,0.05,0.01,0.04,0.03,0.06,0.03,446,20,163
3.76,0.1,2.53,0.01,0.021,0.04,0.02,0.04,0.035,433,23.5,156
3.76,0.1,2.53,0.01,0.021,0.04,0.02,0.04,0.036,433,23.5,156
3.75,0.09,2.62,0.05,0.01,0.03,0.02,0.03,0.046,433,22.1,153
3.74,0.09,2.6,0.05,0.01,0.02,0.01,0.03,0.044,433,22.1,153
3.5,0.31,2.44,0.06,0.01,0.06,0.04,0.43,0.046,562,14.3,201
3.59,0.32,2.49,0.06,0.01,0.06,0.04,0.43,0.049,562,14.3,201
3.68,0.33,2.19,0.06,0.01,0.04,0.03,0.16,0.046,586,15.7,201
3.7,0.34,2.18,0.06,0.01,0.04,0.03,0.16,0.048,586,15.7,201
3.54,0.35,2.34,0.04,0.01,0.11,0.04,0.12,0.043,568,13.9,207
3.57,0.36,2.36,0.04,0.01,0.11,0.04,0.13,0.04,568,13.9,207
3.61,0.25,2.16,0.04,0.01,0.12,0.04,0.15,0.042,637,10.7,223
3.64,0.25,2.2,0.04,0.01,0.12,0.04,0.15,0.039,637,10.7,223
3.7,0.11,2.74,0.05,0.01,0.03,0.02,0.05,0.03,455,21.4,163
3.67,0.11,2.76,0.05,0.01,0.03,0.02,0.05,0.029,455,21.4,163
3.79,0.19,2.51,0.05,0.01,0.05,0.02,0.08,0.039,452,20.7,159
3.81,0.2,2.48,0.05,0.01,0.05,0.02,0.08,0.041,452,20.7,159
3.77,0.16,2.51,0.05,0.01,0.05,0.02,0.09,0.03,452,15,163
3.8,0.16,2.54,0.05,0.02,0.05,0.02,0.09,0.037,452,15,163
3.8,0.13,2.65,0.05,0.01,0.03,0.02,0.06,0.034,446,20,163
3.79,0.15,2.51,0.05,0.01,0.05,0.03,0.09,0.046,446,19.3,163
3.71,0.15,2.47,0.05,0.01,0.05,0.03,0.09,0.039,446,19.3,163
3.75,0.15,2.55,0.05,0.01,0.04,0.02,0.07,0.033,471,20,174
3.72,0.15,2.48,0.05,0.01,0.04,0.02,0.07,0.035,471,20,174
3.6,0.37,2.5,0.04,0.01,0.09,0.05,0.1,0.033,510,15.7,183
3.67,0.37,2.52,0.05,0.01,0.09,0.05,0.1,0.04,510,15.7,183
3.88,0.14,2.47,0.05,0.01,0.04,0.02,0.06,0.036,478,17.6,159
3.85,0.14,2.5,0.05,0.01,0.04,0.02,0.06,0.034,478,17.6,159
3.66,0.26,2.38,0.04,0.01,0.07,0.05,0.45,0.041,637,8.6,229
3.72,0.26,2.3,0.05,0.01,0.07,0.05,0.42,0.045,637,8.6,229
3.81,0.13,2.45,0.06,0.01,0.04,0.02,0.08,0.032,465,17.6,163
3.82,0.13,2.47,0.06,0.01,0.04,0.02,0.08,0.032,465,17.6,163
3.63,0.37,2.38,0.05,0.01,0.06,0.03,0.19,0.04,573,11.1,197
3.69,0.37,2.34,0.05,0.01,0.06,0.03,0.18,0.041,573,11.1,197
3.67,0.39,2.42,0.05,0.01,0.06,0.03,0.13,0.035,548,11.4,187
3.66,0.38,2.4,0.05,0.01,0.06,0.03,0.13,0.04,548,11.4,187
3.64,0.35,2.46,0.05,0.01,0.06,0.03,0.11,0.034,548,11.4,187
3.6,0.35,2.45,0.05,0.01,0.06,0.03,0.11,0.035,548,11.4,187
3.81,0.13,2.63,0.05,0.01,0.03,0.01,0.05,0.032,439,20.7,163
3.8,0.13,2.63,0.05,0.01,0.03,0.01,0.05,0.035,439,20.7,163
3.87,0.15,2.4,0.05,0.01,0.04,0.02,0.08,0.03,500,20.7,170
3.87,0.15,2.45,0.05,0.01,0.04,0.03,0.09,0.033,500,20.7,170
3.64,0.28,2.33,0.05,0.01,0.1,0.04,0.36,0.044,637,7.9,229
3.74,0.28,2.38,0.05,0.01,0.1,0.04,0.36,0.049,637,7.9,229
3.65,0.27,2.23,0.05,0.01,0.11,0.06,0.38,0.049,707,7.1,255
3.74,0.27,2.24,0.05,0.01,0.11,0.06,0.38,0.048,707,7.1,255
3.63,0.27,2.24,0.049,0.013,0.11,0.06,0.38,0.045,682,7.1,255
3.59,0.28,2.22,0.05,0.01,0.11,0.07,0.38,0.042,682,7.1,255
3.63,0.27,2.23,0.05,0.012,0.11,0.06,0.37,0.046,720,7.1,248
3.6,0.27,2.24,0.05,0.01,0.11,0.06,0.38,0.05,720,7.1,248
3.61,0.27,2.27,0.051,0.013,0.09,0.06,0.38,0.037,605,7.9,241
3.53,0.27,2.18,0.05,0.01,0.09,0.05,0.38,0.033,605,7.9,241
3.55,0.27,2.26,0.049,0.012,0.09,0.06,0.39,0.042,668,7.1,241
3.55,0.27,2.22,0.05,0.01,0.09,0.06,0.39,0.035,668,7.1,241
3.66,0.27,2.3,0.05,0.01,0.06,0.04,0.43,0.048,688,7.1,241
3.67,0.27,2.26,0.05,0.01,0.06,0.04,0.42,0.046,688,7.1,241
3.52,0.27,2.36,0.05,0.01,0.06,0.04,0.63,0.034,701,7.1,241
3.58,0.27,2.34,0.05,0.01,0.05,0.04,0.62,0.038,701,7.1,241
3.61,0.29,2.18,0.05,0.02,0.07,0.05,0.62,0.046,701,7.1,235
3.61,0.29,2.16,0.05,0.02,0.07,0.05,0.62,0.048,701,7.1,235
3.65,0.37,2.25,0.05,0.02,0.1,0.07,0.18,0.038,565,12.8,197
3.68,0.37,2.3,0.05,0.02,0.1,0.07,0.18,0.04,565,12.8,197
3.58,0.39,2.28,0.05,0.02,0.12,0.07,0.17,0.027,505,7.1,187
3.65,0.4,2.32,0.05,0.02,0.12,0.07,0.17,0.027,505,7.1,187
3.57,0.36,2.25,0.05,0.01,0.06,0.04,0.09,0.042,701,7.1,262
3.6,0.36,2.3,0.05,0.01,0.06,0.04,0.09,0.045,701,7.1,262
3.72,0.28,2.41,0.05,0.01,0.08,0.05,0.35,0.04,643,8.6,217
3.72,0.29,2.45,0.05,0.01,0.08,0.05,0.36,0.046,643,8.6,217
3.83,0.14,2.58,0.05,0.01,0.03,0.02,0.08,0.035,512,18,156
3.81,0.14,2.59,0.05,0.01,0.03,0.02,0.08,0.035,512,18,156
3.85,0.14,2.54,0.05,0.01,0.03,0.01,0.05,0.038,459,21.7,163
3.79,0.14,2.45,0.07,0.01,0.04,0.02,0.06,0.026,478,17.1,163
3.78,0.14,2.41,0.07,0.01,0.04,0.02,0.06,0.027,478,17.1,163
3.85,0.18,2.46,0.05,0.01,0.03,0.02,0.06,0.04,446,24.3,159
3.85,0.18,2.5,0.05,0.01,0.03,0.02,0.06,0.04,446,24.3,159
3.78,0.23,2.47,0.05,0.01,0.05,0.03,0.1,0.03,459,22.1,163
3.8,0.23,2.46,0.05,0.01,0.05,0.03,0.1,0.03,459,22.1,163
3.86,0.19,2.61,0.05,0.01,0.04,0.02,0.12,0.037,446,24.3,152
3.9,0.19,2.55,0.05,0.01,0.04,0.02,0.12,0.042,446,24.3,152
3.87,0.15,2.58,0.05,0.01,0.03,0.01,0.05,0.03,420,23.3,159
3.86,0.15,2.5,0.05,0.01,0.03,0.01,0.05,0.03,420,23.3,159
3.9,0.15,2.48,0.05,0.01,0.03,0.01,0.05,0.037,430,22,156
3.78,0.15,2.42,0.05,0.01,0.02,0.01,0.04,0.035,430,22,156
3.8,0.13,2.51,0.054,0.008,0.03,0.01,0.06,0.035,452,24.3,163
3.89,0.13,2.55,0.057,0.009,0.03,0.01,0.06,0.034,452,24.3,163
3.75,0.17,2.63,0.056,0.01,0.03,0.01,0.07,0.045,452,24.3,159
3.94,0.16,2.51,0.054,0.013,0.03,0.01,0.06,0.046,425,24.3,159
3.74,0.16,2.53,0.055,0.011,0.03,0.01,0.06,0.038,452,24.3,163
3.65,0.16,2.56,0.058,0.01,0.03,0.01,0.06,0.036,452,24.3,163
3.69,0.28,2.31,0.048,0.013,0.09,0.03,0.38,0.04,650,9.3,248
3.75,0.28,2.33,0.05,0.014,0.09,0.03,0.38,0.045,650,9.3,248
3.75,0.36,2.42,0.046,0.013,0.08,0.03,0.18,0.048,568,12.1,197
3.65,0.38,2.23,0.046,0.014,0.09,0.03,0.16,0.039,573,12.1,179
3.68,0.39,2.26,0.049,0.014,0.1,0.03,0.16,0.041,573,12.1,179
3.83,0.17,2.51,0.053,0.015,0.05,0.02,0.06,0.038,446,20,159
3.89,0.15,2.45,0.055,0.017,0.04,0.01,0.07,0.037,497,15.7,170
3.86,0.15,2.35,0.056,0.018,0.04,0.01,0.06,0.035,497,15.7,170
3.79,0.16,2.57,0.056,0.012,0.04,0.01,0.06,0.033,478,20,163
3.82,0.15,2.52,0.056,0.012,0.04,0.01,0.06,0.031,478,20,163
3.8,0.12,2.58,0.055,0.007,0.02,0.01,0.05,0.034,446,24.3,156
3.79,0.12,2.57,0.058,0.011,0.03,0.01,0.04,0.036,446,24.3,156
3.76,0.12,2.55,0.056,0.01,0.03,0.01,0.04,0.035,443,24.3,159
3.75,0.12,2.62,0.057,0.01,0.03,0.01,0.05,0.03,443,24.3,159
3.77,0.1,2.5,0.053,0.013,0.02,0,0.03,0.037,439,24.3,159
3.76,0.1,2.62,0.056,0.011,0.02,0,0.04,0.034,439,24.3,159
3.7,0.12,2.66,0.058,0.012,0.02,0.01,0.04,0.04,452,24.3,159
3.74,0.12,2.7,0.059,0.013,0.02,0.01,0.04,0.044,452,24.3,159
3.71,0.11,2.48,0.058,0.013,0.02,0.01,0.04,0.034,452,24.3,159
3.79,0.12,2.42,0.058,0.012,0.02,0.01,0.04,0.031,452,24.3,159
3.86,0.13,2.65,0.061,0.012,0.03,0.01,0.05,0.035,471,24.3,163
3.77,0.13,2.65,0.061,0.012,0.03,0.01,0.04,0.032,471,24.3,163
3.73,0.11,2.42,0.054,0.011,0.02,0,0.03,0.034,439,20,163
3.82,0.12,2.5,0.057,0.012,0.02,0,0.04,0.038,439,20,163
3.72,0.13,2.65,0.053,0.007,0.03,0.01,0.05,0.034,459,20,163
3.8,0.13,2.69,0.056,0.009,0.03,0.01,0.05,0.031,459,20,163
3.87,0.12,2.46,0.054,0.01,0.03,0,0.05,0.04,452,24.3,159
3.85,0.12,2.46,0.054,0.01,0.03,0,0.05,0.039,452,24.3,159
3.88,0.16,2.63,0.052,0.016,0.04,0.02,0.06,0.042,452,22.8,163
3.89,0.16,2.65,0.053,0.016,0.04,0.02,0.06,0.044,452,22.8,163
3.66,0.18,2.31,0.049,0.016,0.04,0.02,0.06,0.033,700,7.1,241
3.69,0.15,2.7,0.055,0.014,0.03,0.01,0.05,0.028,471,17.1,167
3.73,0.15,2.74,0.058,0.012,0.03,0.02,0.05,0.033,471,17.1,167
3.83,0.16,2.6,0.057,0.011,0.03,0.01,0.05,0.034,459,20,159
3.82,0.16,2.62,0.058,0.013,0.02,0.01,0.05,0.036,459,20,159
3.78,0.14,2.57,0.058,0.011,0.02,0,0.04,0.037,452,23.6,163
3.81,0.14,2.62,0.059,0.012,0.02,0,0.04,0.038,452,23.6,163
3.64,0.11,2.66,0.056,0.008,0.02,0,0.03,0.041,446,23.6,167
3.74,0.11,2.6,0.058,0.009,0.02,0,0.03,0.04,446,23.6,167
3.79,0.13,2.64,0.057,0.008,0.03,0,0.04,0.032,516,15,170
3.83,0.13,2.64,0.06,0.01,0.03,0,0.04,0.035,516,15,170
3.81,0.12,2.61,0.058,0.016,0.03,0.02,0.06,0.043,446,23.6,163
3.72,0.12,2.67,0.056,0.015,0.03,0.02,0.06,0.042,446,23.6,163
3.79,0.12,2.6,0.054,0.016,0.03,0.02,0.06,0.03,459,24.3,163
3.8,0.12,2.69,0.057,0.011,0.03,0.02,0.06,0.032,459,24.3,163
3.87,0.14,2.59,0.052,0.013,0.03,0.02,0.06,0.042,446,21.4,156
3.87,0.14,2.63,0.054,0.012,0.03,0.02,0.06,0.042,446,21.4,156
3.76,0.11,2.54,0.057,0.011,0.03,0,0.04,0.04,490,29,159
3.81,0.12,2.58,0.059,0.014,0.03,0.01,0.04,0.041,490,29,159
3.86,0.09,2.41,0.058,0.008,0.02,0.01,0.03,0.03,480,18.3,159
3.88,0.09,2.5,0.057,0.01,0.02,0.01,0.03,0.036,480,18.3,159
3.85,0.11,2.69,0.058,0.009,0.02,0.01,0.03,0.037,480,19.3,156
3.82,0.09,2.5,0.057,0.008,0.02,0,0.03,0.037,382,7.1,156
3.86,0.09,2.58,0.061,0.006,0.02,0,0.03,0.038,382,7.1,156
3.83,0.09,2.58,0.059,0.006,0.02,0,0.03,0.038,480,17.7,156
3.83,0.09,2.56,0.06,0.007,0.02,0,0.03,0.04,480,17.7,156
3.8,0.1,2.63,0.053,0.005,0.02,0,0.03,0.038,446,20.7,159
3.85,0.1,2.66,0.057,0.006,0.02,0,0.03,0.037,446,20.7,159
3.78,0.09,2.58,0.057,0.007,0.02,0,0.03,0.04,446,24.3,159
3.79,0.09,2.58,0.059,0.008,0.02,0,0.03,0.041,446,24.3,159
3.85,0.14,2.5,0.053,0.01,0.03,0.02,0.06,0.037,446,20.7,159
3.83,0.14,2.55,0.057,0.009,0.03,0.02,0.06,0.037,446,20.7,159
3.87,0.11,2.61,0.06,0.009,0.03,0.02,0.06,0.042,452,19.3,159
3.89,0.11,2.57,0.059,0.009,0.03,0.02,0.06,0.039,452,19.3,159
3.84,0.15,2.62,0.055,0.012,0.04,0.02,0.06,0.033,573,15,212
3.8,0.14,2.52,0.052,0.012,0.04,0.02,0.06,0.037,573,15,212
3.83,0.12,2.61,0.056,0.011,0.03,0.01,0.05,0.042,478,15.7,174
3.78,0.12,2.56,0.056,0.012,0.03,0.02,0.05,0.036,478,15.7,174
3.75,0.12,2.56,0.054,0.012,0.03,0.01,0.05,0.04,446,20,163
3.79,0.12,2.55,0.055,0.011,0.03,0.01,0.05,0.038,459,20,163
3.78,0.12,2.54,0.055,0.011,0.03,0.01,0.05,0.038,459,20,163
3.87,0.12,2.63,0.054,0.012,0.03,0,0.04,0.032,465,20,201
3.86,0.12,2.62,0.054,0.012,0.03,0,0.04,0.035,465,20,201
3.79,0.1,2.46,0.056,0.01,0.02,0,0.04,0.033,459,18.6,197
3.81,0.1,2.44,0.057,0.01,0.02,0,0.04,0.031,459,18.6,197
3.69,0.28,2.47,0.05,0.01,0.001,0,0.32,0.037,600,4,400
3.69,0.28,2.47,0.05,0.01,0.001,0,0.32,0.037,600,4,430
3.69,0.28,2.47,0.05,0.01,0.001,0,0.32,0.037,600,4,380
3.69,0.28,2.47,0.05,0.01,0.001,0,0.32,0.037,600,4,430
3.68,0.23,2.47,0.006,0.014,0.001,0.15,1.1,0.056,846,4.4,395
3.68,0.23,2.47,0.006,0.014,0,0.15,1.1,0.056,846,4.4,395
3.46,0.22,2.5,0.009,0.018,0,0.69,1.1,0.044,845,4.3,390
3.97,0.15,3.12,0.01,0.003,0,0.13,0.83,0.062,850,3.2,390
3.2,0.16,2.88,0,0.025,0,0.03,0.06,0.043,779,3.8,381
3.56,0.29,2.68,0.03,0.006,0,0,0.87,0.0305,654,4,341
3.56,0.29,2.68,0.03,0.006,0,0,0.87,0.0305,654,4,336
3.56,0.29,2.68,0.03,0.006,0,0,0.87,0.0305,654,4,299
3.56,0.29,2.68,0.03,0.006,0,0,0.87,0.0305,654,4,292
3.39,0.29,2.62,0.042,0.01,0.001,0.72,0.51,0.046,656,3.2,314
3.39,0.29,2.62,0.042,0.01,0.001,0.72,0.51,0.046,656,3.2,314
3.39,0.29,2.62,0.042,0.01,0.001,0.72,0.51,0.046,656,3.2,314
3.39,0.29,2.62,0.042,0.01,0.001,0.72,0.51,0.046,656,3.2,314
3.39,0.29,2.62,0.042,0.01,0.001,0.72,0.51,0.046,656,3.2,314
3.39,0.29,2.62,0.042,0.01,0.001,0.72,0.51,0.046,656,3.2,314
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,228.183505484692
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,190.165391679445
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,190.165391679445
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,166.404070551165
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,161.651806325509
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,256.697090838627
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,294.715204643874
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,323.228789997809
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,308.971997320842
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,308.971997320842
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,199.669920130756
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,190.165391679445
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,204.422184356412
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,213.926712807724
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,223.431241259036
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,332.733318449121
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,342.237846900433
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,342.237846900433
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,356.494639577401
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,332.733318449121
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,251.944826612971
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,261.449355064283
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,247.192562387315
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,270.953883515595
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,285.210676192562
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,570.346529731916
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,484.80577367011
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,451.539924090518
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,380.25596070568
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,432.530867187895
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,404.017281833959
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,380.25596070568
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,365.999168028712
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,356.494639577401
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,423.026338736583
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,356.494639577401
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,308.971997320842
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,299.46746886953
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,294.715204643874
3.65,0.18,2.59,0.052,0.014,0.001,0.001,0.001,0.06,507,12.1,308.971997320842
3.56,0.23,2.35,0.025,0.007,0.001,0.48,0.51,0.047,836,7.9,324.804632610114
3.6,0.23,2.4,0.022,0.007,0.001,0,0.62,0.045,778,8,319.636469655637
3.6,0.24,2.26,0.025,0.004,0.001,0.46,0.48,0.043,890,6.55,352.504291648666
3.57,0.2,2.51,0.031,0.012,0.001,0,0.64,0.042,733,7.3,313.763571049694
3.51,0.23,2.3,0.02,0.008,0.001,0,0.62,0.04,750,6.48,323.068142408502
3.55,0.34,2.68,0.038,0.02,0.001,0,0.62,0.033,697,10,309.671912599919
3.58,0.12,2.27,0.038,0.008,0.001,0.46,0.5,0.037,741,4.26,300.203047348512
3.58,0.12,2.27,0.038,0.008,0.001,0.46,0.5,0.037,741,4.26,307.258225180413
3.58,0.12,2.27,0.038,0.008,0.001,0.46,0.5,0.037,741,4.26,305.666311755058
3.58,0.12,2.27,0.038,0.008,0.001,0.46,0.5,0.037,741,4.26,314.592229652239
3.58,0.12,2.27,0.038,0.008,0.001,0.46,0.5,0.037,741,4.26,319.636469655637
3.58,0.12,2.27,0.038,0.008,0.001,0.46,0.5,0.037,741,4.26,300.973186779714
3.58,0.12,2.27,0.038,0.008,0.001,0.46,0.5,0.037,741,4.26,366.491028892546
3.58,0.12,2.27,0.038,0.008,0.001,0.46,0.5,0.037,741,4.26,359.413323817789
3.58,0.12,2.27,0.038,0.008,0.001,0.46,0.5,0.037,741,4.26,367.515898834298
3.58,0.12,2.27,0.038,0.008,0.001,0.46,0.5,0.037,741,4.26,436.542362516946
3.58,0.12,2.27,0.038,0.008,0.001,0.46,0.5,0.037,741,4.26,435.307512019201
3.58,0.12,2.27,0.038,0.008,0.001,0.46,0.5,0.037,741,4.26,429.184894093425
3.58,0.12,2.27,0.038,0.008,0.001,0.46,0.5,0.037,741,4.26,480.575450437261
3.58,0.12,2.27,0.038,0.008,0.001,0.46,0.5,0.037,741,4.26,477.875115060598
3.58,0.12,2.27,0.038,0.008,0.001,0.46,0.5,0.037,741,4.26,495.673419758965
3.64,0.16,2.48,0.025,0.009,0.001,0.43,0.45,0.045,815,4.27,421.951348620982
3.64,0.16,2.48,0.025,0.009,0.001,0.43,0.45,0.045,815,4.27,423.148333772565
3.64,0.16,2.48,0.025,0.009,0.001,0.43,0.45,0.045,815,4.27,430.402533070187
3.64,0.16,2.48,0.025,0.009,0.001,0.43,0.45,0.045,815,4.27,326.554892028512
3.64,0.16,2.48,0.025,0.009,0.001,0.43,0.45,0.045,815,4.27,329.206098437584
3.64,0.16,2.48,0.025,0.009,0.001,0.43,0.45,0.045,815,4.27,331.888285584426
3.56,0.15,2.63,0.025,0.01,0.001,0.45,0.44,0.047,735,4.49,429.184894093425
3.56,0.15,2.63,0.025,0.01,0.001,0.45,0.44,0.047,735,4.49,440.267567835361
3.56,0.15,2.63,0.025,0.01,0.001,0.45,0.44,0.047,735,4.49,425.552630988319
3.56,0.15,2.63,0.025,0.01,0.001,0.45,0.44,0.047,735,4.49,327.435185194006
3.56,0.15,2.63,0.025,0.01,0.001,0.45,0.44,0.047,735,4.49,332.7892325751
3.56,0.15,2.63,0.025,0.01,0.001,0.45,0.44,0.047,735,4.49,331.888285584426
3.58,0.34,2.57,0.048,0.007,0.001,0.45,0.46,0.043,785,2.81,317.098859285053
