"Nr.zrodla","C","Si","S","P","Mg","Mn","Ni","Cu","Mo","Cr","Al","Sn","B","V","Wydzielenia.grafitu","Udzial.wydzielen.grafitu","Srednica.sferoidow","Wielkosc.sferoidow","Nodularity","Udzial.perlitu","Udzial.ferrytu","Rm.as.cast","A5.as.cast","Temperatura.austenityzacji","Czas.austenityzacji","Temperatura.przemiany.izotermicznej","Czas.przemiany.izotermicznej","Rm","R0.2","A5","Twardosc.Brinella","Twardosc.Rockwella","Twardosc.Rockwella.1","Twardosc.Vickersa","Udarnosc.Charpy","Temperatura.pomiaru.udarnosci","Udzial.austenitu","Martensite.volume.fraction.X","Retained.austenite.volume.fraction.X"
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,400,120,585,480,NA,NA,NA,NA,NA,NA,NA,28.7,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,385,120,701,636,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,371,120,1062,861,10.5,NA,NA,NA,NA,NA,NA,32,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,357,120,1105,946,9.6,NA,NA,NA,NA,NA,NA,28.5,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,343,120,1185,989,NA,NA,NA,NA,NA,NA,NA,26.2,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,330,120,1277,1081,NA,NA,NA,NA,NA,NA,NA,17.5,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,323,120,NA,NA,4,NA,NA,NA,NA,NA,NA,30,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,316,120,1326,1154,NA,NA,NA,NA,NA,NA,NA,14.5,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,301,120,NA,NA,3.4,NA,NA,NA,NA,NA,NA,14.5,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,288,120,1470,1302,3.1,NA,NA,NA,NA,NA,NA,14,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,273,120,1522,1373,NA,NA,NA,NA,NA,NA,NA,12,NA,NA
1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,80,NA,NA,NA,927,120,260,120,1528,1410,1.9,NA,NA,NA,NA,NA,NA,12,NA,NA
2,3.5,2.6,0.005,0.02,0.0468414710485133,0.25,0,0.96,0.21,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,100,NA,649,4,900,180,355,240,1039,NA,14.5,NA,NA,NA,NA,NA,NA,30,NA,NA
2,3.42,2.73,0.006,0.02,0.0468414710485133,0.25,0,0.98,0.2,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,100,NA,NA,NA,845,180,370,240,874,637,6.3,NA,NA,NA,NA,NA,NA,30,NA,NA
2,3.5,2.6,0.005,0.02,0.0468414710485133,0.25,0,0.96,0.21,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,100,NA,649,4,900,180,355,180,1117,NA,9.8,NA,NA,NA,NA,NA,NA,30,NA,NA
2,3.5,2.6,0.005,0.02,0.0468414710485133,0.25,0,0.96,0.21,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,100,NA,649,4,900,180,355,120,1078,NA,10,NA,NA,NA,NA,NA,NA,30,NA,NA
2,3.42,2.73,0.006,0.02,0.0468414710485133,0.25,0,0.98,0.2,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,100,NA,NA,NA,845,180,370,120,862,634,5.5,NA,NA,NA,NA,NA,NA,30,NA,NA
2,3.5,2.6,0.005,0.02,0.0468414710485133,0.25,0,0.96,0.21,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,100,NA,649,4,900,180,355,90,1000,660,11.4,NA,NA,NA,NA,NA,NA,30,NA,NA
2,3.42,2.73,0.006,0.02,0.0468414710485133,0.25,0,0.98,0.2,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,100,NA,NA,NA,845,180,370,90,905,645,8,NA,NA,NA,NA,NA,NA,30,NA,NA
2,3.5,2.6,0.005,0.02,0.0468414710485133,0.25,0,0.96,0.21,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,100,NA,649,4,900,180,355,75,1032,681,8.6,NA,NA,NA,NA,NA,NA,30,NA,NA
2,3.5,2.6,0.005,0.02,0.0468414710485133,0.25,0,0.96,0.21,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,100,NA,649,4,900,180,355,60,996,669,8.5,NA,NA,NA,NA,NA,NA,30,NA,NA
2,3.42,2.73,0.006,0.02,0.0468414710485133,0.25,0,0.98,0.2,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,100,NA,NA,NA,845,180,370,60,916,640,9.2,NA,NA,NA,NA,NA,NA,30,NA,NA
2,3.5,2.6,0.005,0.02,0.0468414710485133,0.25,0,0.96,0.21,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,100,NA,649,4,900,180,355,45,1099,NA,9.7,NA,NA,NA,NA,NA,NA,30,NA,NA
2,3.42,2.73,0.006,0.02,0.0468414710485133,0.25,0,0.98,0.2,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,100,NA,NA,NA,845,180,370,45,852,587,7.3,NA,NA,NA,NA,NA,NA,30,NA,NA
2,3.5,2.6,0.005,0.02,0.0468414710485133,0.25,0,0.96,0.21,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,100,NA,649,4,900,180,355,30,1063,NA,5.9,NA,NA,NA,NA,NA,NA,30,NA,NA
2,3.42,2.73,0.006,0.02,0.0468414710485133,0.25,0,0.98,0.2,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,100,NA,NA,NA,845,180,370,30,878,585,7.7,NA,NA,NA,NA,NA,NA,30,NA,NA
2,3.42,2.73,0.006,0.02,0.0468414710485133,0.25,0,0.98,0.2,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,100,NA,NA,NA,845,180,370,15,905,601,6.8,NA,NA,NA,NA,NA,NA,30,NA,NA
3,3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,900,60,275,120,1208,935,1.1,NA,41.2,NA,NA,NA,NA,30,NA,NA
3,3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,900,60,275,120,1299,948,1.3,NA,41.2,NA,NA,NA,NA,30,NA,NA
3,3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,900,60,275,120,1078,779,2.9,NA,41.2,NA,NA,NA,NA,30,NA,NA
3,3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,900,60,275,75,1429,1139,1.4,NA,47.2,NA,NA,NA,NA,30,NA,NA
3,3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,900,60,275,75,1532,1195,1.1,NA,47.2,NA,NA,NA,NA,30,NA,NA
3,3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,900,60,275,75,1455,1078,1.1,NA,47.2,NA,NA,NA,NA,30,NA,NA
3,3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,900,60,350,60,922,753,7.1,NA,28.4,NA,NA,NA,NA,30,NA,NA
3,3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,900,60,350,60,1013,714,7.7,NA,28.4,NA,NA,NA,NA,30,NA,NA
3,3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,900,60,350,60,987,649,8,NA,28.4,NA,NA,NA,NA,30,NA,NA
3,3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,900,60,350,30,1117,740,6.3,NA,28.4,NA,NA,NA,NA,30,NA,NA
3,3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,900,60,350,30,1052,714,3.7,NA,28.4,NA,NA,NA,NA,30,NA,NA
3,3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,900,60,350,30,1130,779,7.4,NA,28.4,NA,NA,NA,NA,30,NA,NA
3,3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,900,60,350,10,1169,662,5.7,NA,36.6,NA,NA,NA,NA,30,NA,NA
3,3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,900,60,350,10,1182,701,4.6,NA,36.6,NA,NA,NA,NA,30,NA,NA
3,3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,900,60,350,10,1143,792,3.7,NA,36.6,NA,NA,NA,NA,30,NA,NA
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,100,NA,NA,NA,90,NA,10,NA,NA,900,90,360,180,NA,NA,NA,332,NA,NA,NA,NA,NA,30,NA,23.7
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,85,NA,NA,NA,90,NA,10,NA,NA,900,90,360,180,NA,NA,NA,330,NA,NA,NA,NA,NA,30,NA,23.8
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,60,NA,NA,NA,90,NA,15,NA,NA,900,90,360,180,NA,NA,NA,312,NA,NA,NA,NA,NA,30,NA,27.7
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,55,NA,NA,NA,90,NA,15,NA,NA,900,90,360,180,NA,NA,NA,309,NA,NA,NA,NA,NA,30,NA,27.3
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,100,NA,NA,NA,90,NA,10,NA,NA,900,90,300,180,NA,NA,NA,426,NA,NA,NA,NA,NA,30,NA,8.1
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,85,NA,NA,NA,90,NA,10,NA,NA,900,90,300,180,NA,NA,NA,406,NA,NA,NA,NA,NA,30,NA,17.2
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,60,NA,NA,NA,90,NA,15,NA,NA,900,90,300,180,NA,NA,NA,406,NA,NA,NA,NA,NA,30,NA,11.6
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,55,NA,NA,NA,90,NA,15,NA,NA,900,90,300,180,NA,NA,NA,415,NA,NA,NA,NA,NA,30,NA,11.3
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,100,NA,NA,NA,90,NA,10,NA,NA,900,90,360,120,NA,NA,NA,332,NA,NA,NA,NA,NA,30,NA,27.4
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,85,NA,NA,NA,90,NA,10,NA,NA,900,90,360,120,NA,NA,NA,331,NA,NA,NA,NA,NA,30,NA,27.6
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,60,NA,NA,NA,90,NA,15,NA,NA,900,90,360,120,NA,NA,NA,318,NA,NA,NA,NA,NA,30,NA,26.5
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,55,NA,NA,NA,90,NA,15,NA,NA,900,90,360,120,NA,NA,NA,327,NA,NA,NA,NA,NA,30,NA,26.7
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,100,NA,NA,NA,90,NA,10,NA,NA,900,90,300,120,NA,NA,NA,406,NA,NA,NA,NA,NA,30,NA,14.2
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,85,NA,NA,NA,90,NA,10,NA,NA,900,90,300,120,NA,NA,NA,391,NA,NA,NA,NA,NA,30,NA,15.3
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,60,NA,NA,NA,90,NA,15,NA,NA,900,90,300,120,NA,NA,NA,402,NA,NA,NA,NA,NA,30,NA,17
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,55,NA,NA,NA,90,NA,15,NA,NA,900,90,300,120,NA,NA,NA,393,NA,NA,NA,NA,NA,30,NA,13.7
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,100,NA,NA,NA,90,NA,10,NA,NA,900,90,360,60,NA,NA,NA,329,NA,NA,NA,NA,NA,30,NA,26.5
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,85,NA,NA,NA,90,NA,10,NA,NA,900,90,360,60,NA,NA,NA,323,NA,NA,NA,NA,NA,30,NA,26.4
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,60,NA,NA,NA,90,NA,15,NA,NA,900,90,360,60,NA,NA,NA,315,NA,NA,NA,NA,NA,30,NA,24.6
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,55,NA,NA,NA,90,NA,15,NA,NA,900,90,360,60,NA,NA,NA,312,NA,NA,NA,NA,NA,30,NA,25.6
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,100,NA,NA,NA,90,NA,10,NA,NA,900,90,300,60,NA,NA,NA,402,NA,NA,NA,NA,NA,30,NA,18.6
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,85,NA,NA,NA,90,NA,10,NA,NA,900,90,300,60,NA,NA,NA,392,NA,NA,NA,NA,NA,30,NA,14.1
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,60,NA,NA,NA,90,NA,15,NA,NA,900,90,300,60,NA,NA,NA,386,NA,NA,NA,NA,NA,30,NA,18.8
4,3.53,2.27,0.009,0.026,0.04,0.22,0.45,0.43,0.17,0,0,0,0,0,55,NA,NA,NA,90,NA,15,NA,NA,900,90,300,60,NA,NA,NA,380,NA,NA,NA,NA,NA,30,NA,16.3
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,400,NA,NA,NA,90,NA,30,NA,NA,900,90,360,180,NA,NA,NA,323,NA,NA,NA,NA,NA,30,NA,20.8
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,315,NA,NA,NA,90,NA,25,NA,NA,900,90,360,180,NA,NA,NA,311,NA,NA,NA,NA,NA,30,NA,18.2
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,290,NA,NA,NA,90,NA,20,NA,NA,900,90,360,180,NA,NA,NA,312,NA,NA,NA,NA,NA,30,NA,16.7
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,110,NA,NA,NA,90,NA,20,NA,NA,900,90,360,180,NA,NA,NA,298,NA,NA,NA,NA,NA,30,NA,16.2
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,400,NA,NA,NA,90,NA,30,NA,NA,900,90,300,180,NA,NA,NA,405,NA,NA,NA,NA,NA,30,NA,8.1
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,315,NA,NA,NA,90,NA,25,NA,NA,900,90,300,180,NA,NA,NA,406,NA,NA,NA,NA,NA,30,NA,4
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,290,NA,NA,NA,90,NA,20,NA,NA,900,90,300,180,NA,NA,NA,422,NA,NA,NA,NA,NA,30,NA,7.1
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,110,NA,NA,NA,90,NA,20,NA,NA,900,90,300,180,NA,NA,NA,414,NA,NA,NA,NA,NA,30,NA,3.4
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,400,NA,NA,NA,90,NA,30,NA,NA,900,90,360,120,NA,NA,NA,334,NA,NA,NA,NA,NA,30,NA,20.6
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,315,NA,NA,NA,90,NA,25,NA,NA,900,90,360,120,NA,NA,NA,325,NA,NA,NA,NA,NA,30,NA,18.4
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,290,NA,NA,NA,90,NA,20,NA,NA,900,90,360,120,NA,NA,NA,326,NA,NA,NA,NA,NA,30,NA,18.4
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,110,NA,NA,NA,90,NA,20,NA,NA,900,90,360,120,NA,NA,NA,325,NA,NA,NA,NA,NA,30,NA,20.4
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,400,NA,NA,NA,90,NA,30,NA,NA,900,90,300,120,NA,NA,NA,404,NA,NA,NA,NA,NA,30,NA,7.8
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,315,NA,NA,NA,90,NA,25,NA,NA,900,90,300,120,NA,NA,NA,380,NA,NA,NA,NA,NA,30,NA,3.9
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,290,NA,NA,NA,90,NA,20,NA,NA,900,90,300,120,NA,NA,NA,357,NA,NA,NA,NA,NA,30,NA,4.1
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,110,NA,NA,NA,90,NA,20,NA,NA,900,90,300,120,NA,NA,NA,386,NA,NA,NA,NA,NA,30,NA,3.8
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,400,NA,NA,NA,90,NA,30,NA,NA,900,90,360,60,NA,NA,NA,323,NA,NA,NA,NA,NA,30,NA,22
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,315,NA,NA,NA,90,NA,25,NA,NA,900,90,360,60,NA,NA,NA,319,NA,NA,NA,NA,NA,30,NA,18.6
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,290,NA,NA,NA,90,NA,20,NA,NA,900,90,360,60,NA,NA,NA,321,NA,NA,NA,NA,NA,30,NA,17.7
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,110,NA,NA,NA,90,NA,20,NA,NA,900,90,360,60,NA,NA,NA,319,NA,NA,NA,NA,NA,30,NA,12.8
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,400,NA,NA,NA,90,NA,30,NA,NA,900,90,300,60,NA,NA,NA,324,NA,NA,NA,NA,NA,30,NA,5.7
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,315,NA,NA,NA,90,NA,25,NA,NA,900,90,300,60,NA,NA,NA,320,NA,NA,NA,NA,NA,30,NA,7
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,290,NA,NA,NA,90,NA,20,NA,NA,900,90,300,60,NA,NA,NA,347,NA,NA,NA,NA,NA,30,NA,4.6
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,110,NA,NA,NA,90,NA,20,NA,NA,900,90,300,60,NA,NA,NA,323,NA,NA,NA,NA,NA,30,NA,3.6
5,3.6,2.24,0.02,0.05,0.06,0.25,0.001,0.9,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,850,120,350,40,1125,806,6.3,343,NA,NA,NA,NA,NA,30,NA,NA
5,3.6,2.24,0.02,0.05,0.06,0.25,0.001,0.9,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,850,120,340,40,1241,1004,5.8,376,NA,NA,NA,NA,NA,30,NA,NA
5,3.6,2.24,0.02,0.05,0.06,0.25,0.001,0.9,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,850,120,300,40,1431,1199,2.9,426,NA,NA,NA,NA,NA,30,NA,NA
5,3.6,2.24,0.02,0.05,0.06,0.25,0.001,0.9,0.001,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,850,120,300,40,1498,1206,2.9,434,NA,NA,NA,NA,NA,30,NA,NA
6,3.72,2.51,0.017,0.021,0.049,0.15,0.09,0.05,0.07,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,927,60,316,120,1415,1236,4.1,NA,NA,NA,NA,NA,NA,4.8,NA,NA
6,3.72,2.51,0.017,0.021,0.049,0.15,0.09,0.05,0.07,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,871,60,371,40,1084,850,8.4,NA,NA,NA,NA,NA,NA,12.5,NA,NA
6,3.72,2.51,0.017,0.021,0.049,0.15,0.09,0.05,0.07,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,871,60,316,40,1395,1232,2.1,NA,NA,NA,NA,NA,NA,5.1,NA,NA
6,3.72,2.51,0.017,0.021,0.049,0.15,0.09,0.05,0.07,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,927,60,371,30,1126,906,10.8,NA,NA,NA,NA,NA,NA,7,NA,NA
6,3.72,2.51,0.017,0.021,0.049,0.15,0.09,0.05,0.07,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,927,60,316,30,1380,1180,2.8,NA,NA,NA,NA,NA,NA,3.2,NA,NA
6,3.6,2.48,0.007,0.022,0.048,0.31,0.06,0.05,0.22,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,927,60,371,40,1084,895,6.2,NA,NA,NA,NA,NA,NA,7.1,NA,NA
6,3.6,2.48,0.007,0.022,0.048,0.31,0.06,0.05,0.22,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,927,60,316,30,1375,1253,1.8,NA,NA,NA,NA,NA,NA,2.5,NA,NA
6,3.59,2.49,0.011,0.025,0.047,0.15,0.08,0.05,0.06,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,927,60,316,40,1495,1271,2,NA,NA,NA,NA,NA,NA,3.5,NA,NA
6,3.59,2.49,0.011,0.025,0.047,0.15,0.08,0.05,0.06,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,927,60,371,30,1153,953,4.9,NA,NA,NA,NA,NA,NA,6.9,NA,NA
6,3.59,2.49,0.011,0.025,0.047,0.15,0.08,0.05,0.06,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,871,60,371,25,1026,781,9.7,NA,NA,NA,NA,NA,NA,12.2,NA,NA
6,3.59,2.49,0.011,0.025,0.047,0.15,0.08,0.05,0.06,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,871,60,316,20,1294,1189,1.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA
6,3.58,2.33,0.016,0.024,0.045,0.3,0.06,0.05,0.44,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,927,60,371,50,1100,893,5.8,NA,NA,NA,NA,NA,NA,5.4,NA,NA
6,3.58,2.33,0.016,0.024,0.045,0.3,0.06,0.05,0.44,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,927,60,316,40,1378,1255,1.8,NA,NA,NA,NA,NA,NA,3.1,NA,NA
6,3.56,2.33,0.018,0.021,0.039,0.57,0.1,0.05,0.06,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,927,60,371,60,1055,854,5.5,NA,NA,NA,NA,NA,NA,5.9,NA,NA
6,3.56,2.33,0.018,0.021,0.039,0.57,0.1,0.05,0.06,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,927,60,316,60,1403,1206,3.2,NA,NA,NA,NA,NA,NA,3.8,NA,NA
6,3.56,2.33,0.018,0.021,0.039,0.57,0.1,0.05,0.06,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,871,60,371,60,1156,956,10.8,NA,NA,NA,NA,NA,NA,11,NA,NA
6,3.69,2.46,0.01,0.026,0.036,0.61,0.56,0.05,0.21,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,927,60,371,160,1160,894,6.8,NA,NA,NA,NA,NA,NA,7.7,NA,NA
6,3.69,2.46,0.01,0.026,0.036,0.61,0.56,0.05,0.21,0.001,0.001,0.001,0.001,0.001,NA,NA,NA,NA,90,NA,NA,NA,NA,927,60,371,100,1124,910,4.1,NA,NA,NA,NA,NA,NA,6.4,NA,NA
